price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,plz,ort
1237000,353,7,4,2,no,no,yes,yes,no,3,yes,unfurnished,44623,Herne
1224000,226,5,1,2,no,no,no,yes,no,1,no,unfurnished,50672,Köln Innenstadt
1218000,201,4,3,3,no,no,yes,yes,no,2,yes,unfurnished,53115,Bonn Poppelsdorf
1215000,144,5,2,2,no,no,yes,yes,no,2,yes,unfurnished,40212,Düsseldorf Zentrum
1208000,214,6,2,3,no,yes,no,no,no,1,yes,semi-furnished,40212,Düsseldorf Zentrum
1205000,171,4,3,2,no,no,yes,yes,no,3,yes,furnished,50670,Köln Innenstadt
1194000,260,6,2,1,yes,no,yes,yes,no,1,no,semi-furnished,53177,Bonn Bad Godesberg
1171000,195,5,1,3,no,yes,no,yes,no,3,no,unfurnished,40225,Düsseldorf Bilk
1163000,260,6,3,3,yes,no,no,yes,no,1,no,furnished,48145,Münster
1158000,379,8,4,3,no,yes,yes,yes,no,2,no,unfurnished,53340,Meckenheim
1154000,227,5,2,2,no,no,yes,no,no,1,no,unfurnished,50937,Köln Suelz
1115000,332,6,2,3,no,no,yes,yes,yes,2,no,unfurnished,50169,Kerpen
1113000,234,5,1,3,yes,no,yes,yes,no,2,no,unfurnished,40210,Düsseldorf Zentrum
1097000,260,6,1,3,no,no,no,yes,no,3,no,semi-furnished,48157,Münster
1096000,210,5,1,1,no,no,yes,yes,no,3,no,unfurnished,53127,Bonn Venusberg
1095000,198,5,1,2,no,no,no,yes,no,2,no,semi-furnished,50997,Köln Rodenkirchen
1090000,166,4,1,3,no,no,yes,yes,no,2,no,unfurnished,50933,Köln Lindenthal
1086000,155,4,2,3,no,yes,yes,no,no,2,no,unfurnished,50931,Köln Lindenthal
1083000,181,4,3,1,no,yes,yes,yes,no,1,no,furnished,53115,Bonn Zentrum
1081000,175,5,1,2,no,yes,yes,yes,no,2,yes,semi-furnished,50969,Köln Suelz
1081000,111,3,1,1,no,no,yes,yes,no,1,yes,unfurnished,40213,Düsseldorf Zentrum
1078000,255,6,1,2,no,no,yes,yes,no,2,no,semi-furnished,40233,Düsseldorf Flingern
1075000,192,4,2,1,no,yes,yes,yes,no,2,no,unfurnished,50678,Köln Innenstadt
1074000,224,6,3,3,no,yes,yes,yes,yes,2,no,semi-furnished,51149,Köln Porz
1069000,214,6,3,3,no,no,yes,yes,no,2,no,semi-furnished,53115,Bonn Poppelsdorf
1067000,317,7,2,2,no,no,yes,yes,no,4,yes,semi-furnished,53424,Remagen
1059000,239,5,3,3,no,no,yes,yes,no,1,yes,unfurnished,53125,Bonn Hardtberg
1055000,204,5,1,2,yes,no,no,yes,no,1,yes,semi-furnished,50674,Köln Innenstadt
1052000,204,5,2,2,no,yes,yes,yes,no,3,no,unfurnished,53115,Bonn Zentrum
1043000,175,4,1,2,no,yes,no,yes,no,1,no,unfurnished,53111,Bonn Zentrum
1041000,204,5,1,2,no,no,no,yes,no,3,no,furnished,53175,Bonn Bad Godesberg
1041000,190,5,2,2,no,yes,yes,yes,no,1,yes,semi-furnished,40878,Ratingen
1036000,229,5,3,3,no,yes,yes,yes,no,1,no,semi-furnished,53129,Bonn Kessenich
1030000,236,6,2,1,no,no,no,yes,no,1,no,furnished,53111,Bonn Zentrum
1028000,139,4,2,1,yes,yes,no,yes,no,1,no,semi-furnished,40545,Düsseldorf Oberkassel
1025000,171,5,2,3,yes,no,yes,yes,no,2,yes,unfurnished,50996,Köln Rodenkirchen
1022000,258,6,3,2,no,no,no,yes,yes,2,no,semi-furnished,50321,Brühl
1017000,216,6,2,3,yes,no,yes,yes,no,3,no,furnished,51103,Köln Kalk
1011000,141,4,1,2,no,yes,no,yes,no,2,no,unfurnished,40547,Düsseldorf Oberkassel
1008000,173,4,1,1,no,no,yes,yes,no,1,no,unfurnished,53115,Bonn Zentrum
1005000,211,5,3,2,no,yes,yes,no,no,3,no,semi-furnished,40882,Ratingen
1000000,152,4,3,2,no,no,yes,yes,yes,3,yes,unfurnished,50823,Köln Ehrenfeld
997000,166,4,1,1,no,yes,yes,yes,no,1,no,furnished,53113,Bonn Zentrum
989000,236,5,1,3,yes,no,yes,yes,no,2,no,unfurnished,53343,Wachtberg
989000,214,5,2,1,yes,yes,no,yes,no,1,no,unfurnished,45130,Essen Rüttenscheid
986000,182,5,1,2,no,yes,no,yes,no,3,no,unfurnished,50937,Köln Lindenthal
985000,260,6,3,1,no,no,no,no,no,3,no,semi-furnished,53343,Wachtberg
982000,119,3,1,2,no,no,yes,yes,yes,2,yes,furnished,50674,Köln Innenstadt
980000,163,4,2,2,no,no,no,yes,yes,2,no,furnished,53127,Bonn Venusberg
964000,364,7,2,3,no,no,yes,yes,no,4,no,unfurnished,53783,Eitorf
960000,170,6,1,1,no,no,yes,yes,no,1,no,semi-furnished,48153,Münster
957000,260,6,1,3,no,yes,yes,no,no,1,no,semi-furnished,56075,Koblenz
955000,175,5,1,1,no,no,yes,yes,no,1,no,unfurnished,45131,Essen Rüttenscheid
943000,233,6,1,2,no,yes,no,yes,no,2,no,semi-furnished,50739,Köln Nippes
940000,129,3,1,1,no,no,yes,yes,no,1,no,furnished,40215,Düsseldorf Zentrum
939000,196,5,1,2,no,yes,yes,yes,no,3,no,unfurnished,50259,Pulheim
933000,281,4,4,2,no,yes,yes,yes,yes,3,no,unfurnished,50374,Erftstadt
932000,193,4,2,1,no,no,yes,no,no,2,yes,semi-furnished,53115,Bonn Zentrum
932000,259,6,4,2,no,no,yes,yes,no,4,yes,unfurnished,42653,Solingen
930000,139,4,2,3,no,no,yes,yes,no,1,no,furnished,40213,Düsseldorf Zentrum
924000,194,4,3,2,no,no,yes,yes,no,3,no,unfurnished,50931,Köln Lindenthal
921000,157,3,2,1,no,no,yes,yes,no,2,no,unfurnished,53173,Bonn Bad Godesberg
919000,163,4,1,2,no,no,yes,yes,no,1,yes,semi-furnished,48151,Münster
916000,165,4,1,2,no,no,no,yes,no,2,no,unfurnished,50670,Köln Innenstadt
916000,174,4,2,3,no,no,yes,yes,no,2,yes,semi-furnished,50933,Köln Lindenthal
915000,177,5,3,1,no,yes,yes,yes,no,2,no,unfurnished,50739,Köln Nippes
909000,180,4,2,3,no,yes,yes,yes,no,3,yes,semi-furnished,50354,Hürth
904000,191,5,3,3,no,yes,yes,yes,no,3,no,semi-furnished,53123,Bonn Duisdorf
898000,149,5,1,3,no,no,yes,yes,no,1,no,semi-furnished,50733,Köln Nippes
892000,158,4,2,3,no,no,yes,yes,yes,3,yes,unfurnished,53113,Bonn Zentrum
882000,138,5,2,2,no,no,no,yes,no,2,no,unfurnished,50678,Köln Innenstadt
880000,151,4,1,3,no,no,yes,yes,no,1,no,furnished,48145,Münster
876000,161,4,3,3,no,no,no,yes,no,1,yes,furnished,48153,Münster
875000,173,4,3,1,no,no,yes,yes,no,1,yes,unfurnished,53111,Bonn Zentrum
870000,169,4,1,2,no,no,yes,yes,no,3,no,semi-furnished,53129,Bonn Kessenich
865000,193,5,1,2,no,no,no,yes,no,3,no,unfurnished,44227,Dortmund Hombruch
864000,200,4,2,1,yes,no,yes,yes,no,2,no,unfurnished,53229,Bonn Beuel
856000,119,4,2,3,no,yes,no,yes,no,2,yes,unfurnished,53115,Bonn Poppelsdorf
853000,179,5,2,3,no,yes,no,no,no,3,no,unfurnished,53175,Bonn Bad Godesberg
852000,103,4,2,3,no,no,yes,yes,no,0,no,unfurnished,40547,Düsseldorf Oberkassel
848000,123,3,2,3,no,no,no,yes,no,1,yes,unfurnished,53111,Bonn Zentrum
848000,106,3,1,3,no,no,yes,yes,yes,1,no,semi-furnished,50674,Köln Innenstadt
839000,201,5,1,2,yes,no,yes,yes,no,2,yes,semi-furnished,45130,Essen Rüttenscheid
838000,167,4,1,2,no,no,yes,yes,no,2,no,unfurnished,53121,Bonn Endenich
835000,169,5,3,2,no,no,yes,yes,no,3,yes,semi-furnished,53721,Siegburg
833000,129,3,1,1,yes,no,no,no,yes,0,yes,unfurnished,50670,Köln Innenstadt
827000,130,4,2,3,no,no,yes,yes,no,2,no,unfurnished,50827,Köln Ehrenfeld
827000,322,6,4,3,no,yes,yes,yes,no,3,no,unfurnished,58453,Witten
825000,286,5,3,2,no,no,yes,yes,no,3,no,semi-furnished,53424,Remagen
822000,231,6,2,1,yes,no,no,no,no,3,yes,unfurnished,53604,Bad Honnef
820000,206,5,1,2,no,yes,yes,yes,no,1,no,semi-furnished,53846,Troisdorf
820000,211,5,2,1,no,no,yes,yes,no,2,no,unfurnished,45127,Essen Zentrum
819000,206,5,1,2,no,no,yes,yes,no,2,yes,semi-furnished,51147,Köln Porz
817000,217,6,1,2,no,no,yes,yes,no,2,no,semi-furnished,53123,Bonn Duisdorf
815000,108,4,1,1,no,no,yes,yes,no,1,yes,unfurnished,40212,Düsseldorf Zentrum
808000,186,5,2,3,no,no,yes,yes,no,2,no,unfurnished,53757,Sankt Augustin
808000,183,5,2,1,yes,no,yes,yes,no,1,no,furnished,45127,Essen Zentrum
804000,166,5,3,2,no,no,yes,yes,no,3,no,unfurnished,53111,Bonn Zentrum
802000,162,4,1,1,no,no,yes,yes,yes,1,no,semi-furnished,40597,Düsseldorf Benrath
797000,209,5,1,1,no,no,no,yes,no,1,no,semi-furnished,51063,Köln Muelheim
795000,96,3,2,1,no,no,no,no,no,2,yes,unfurnished,40210,Düsseldorf Zentrum
792000,200,5,1,3,no,no,yes,yes,no,1,yes,semi-furnished,53840,Troisdorf
789000,127,4,2,1,no,no,no,yes,no,1,no,unfurnished,40215,Düsseldorf Zentrum
787000,204,6,3,3,yes,no,yes,yes,yes,2,yes,unfurnished,51379,Leverkusen
785000,179,5,2,2,yes,no,yes,yes,no,1,no,unfurnished,53115,Bonn Poppelsdorf
781000,202,4,3,2,no,no,no,yes,no,2,no,semi-furnished,53127,Bonn Venusberg
779000,159,3,3,3,yes,yes,no,yes,no,3,no,unfurnished,53115,Bonn Zentrum
774000,243,5,2,2,no,no,yes,yes,no,3,no,unfurnished,53721,Siegburg
774000,155,4,1,1,no,no,no,yes,no,1,no,unfurnished,53129,Bonn Kessenich
772000,139,3,2,2,no,no,yes,yes,no,2,no,unfurnished,48147,Münster
761000,127,3,2,1,no,yes,yes,no,yes,3,yes,semi-furnished,50668,Köln Innenstadt
760000,191,5,2,1,no,no,yes,yes,no,2,no,semi-furnished,53840,Troisdorf
759000,109,3,3,1,no,no,yes,yes,no,2,yes,unfurnished,40545,Düsseldorf Oberkassel
759000,138,4,1,1,no,yes,no,yes,no,2,no,unfurnished,50679,Köln Deutz
756000,226,5,3,3,no,no,yes,yes,no,3,yes,furnished,50171,Kerpen
754000,169,4,2,1,no,no,yes,yes,no,3,no,semi-furnished,53343,Wachtberg
750000,230,6,1,2,no,no,yes,yes,no,3,no,semi-furnished,41466,Neuss
748000,193,4,2,1,yes,no,no,yes,no,2,no,furnished,53121,Bonn Endenich
748000,169,4,3,3,no,no,yes,yes,no,2,no,semi-furnished,44227,Dortmund Hombruch
747000,133,5,1,1,no,no,yes,yes,yes,1,no,semi-furnished,50937,Köln Lindenthal
747000,127,4,2,3,no,no,yes,yes,no,2,no,semi-furnished,40211,Düsseldorf Zentrum
746000,145,5,1,2,no,no,yes,no,no,2,no,semi-furnished,50676,Köln Innenstadt
746000,163,4,2,2,yes,yes,no,yes,no,1,no,unfurnished,45130,Essen Rüttenscheid
744000,172,4,1,3,no,no,yes,yes,no,1,no,semi-furnished,53343,Wachtberg
741000,236,5,3,1,no,yes,yes,yes,no,3,no,unfurnished,41068,Mönchengladbach
740000,179,5,2,1,no,yes,no,yes,yes,1,no,semi-furnished,53757,Sankt Augustin
740000,130,4,1,3,no,yes,yes,yes,yes,1,yes,semi-furnished,50937,Köln Suelz
735000,201,5,1,1,no,no,yes,yes,no,1,yes,unfurnished,53773,Hennef (Sieg)
733000,154,5,1,3,no,no,yes,yes,no,2,yes,semi-furnished,53227,Bonn Beuel
732000,260,6,2,3,yes,no,no,yes,no,3,yes,unfurnished,53332,Bornheim
727000,176,4,2,1,no,no,yes,yes,no,2,yes,unfurnished,53123,Bonn Duisdorf
727000,93,2,2,1,no,no,yes,yes,no,1,yes,semi-furnished,50933,Köln Lindenthal
724000,147,4,2,1,no,no,no,yes,no,2,no,unfurnished,53115,Bonn Poppelsdorf
724000,178,5,3,1,no,no,yes,yes,no,2,no,unfurnished,51145,Köln Porz
724000,150,4,3,1,no,yes,yes,yes,no,1,no,unfurnished,53129,Bonn Kessenich
722000,200,4,2,2,no,no,no,yes,yes,2,no,unfurnished,52349,Düren
721000,246,5,3,2,yes,no,yes,yes,no,2,no,unfurnished,53119,Bonn Tannenbusch
721000,183,5,2,3,yes,no,yes,yes,no,1,no,unfurnished,51377,Leverkusen
718000,182,4,3,3,no,no,yes,yes,no,1,no,unfurnished,51375,Leverkusen
717000,171,3,2,3,yes,no,yes,yes,no,3,yes,semi-furnished,51427,Bergisch Gladbach
716000,222,6,2,3,no,no,no,yes,no,3,no,unfurnished,51147,Köln Porz
716000,165,5,2,3,yes,no,yes,yes,no,1,yes,furnished,51379,Leverkusen
715000,229,5,1,3,no,no,no,no,no,2,yes,semi-furnished,53119,Bonn Tannenbusch
714000,154,3,2,2,no,no,yes,yes,no,2,yes,unfurnished,53177,Bonn Bad Godesberg
714000,107,3,2,1,no,no,yes,yes,no,2,no,unfurnished,50668,Köln Innenstadt
708000,138,4,2,3,no,no,yes,yes,no,2,no,unfurnished,53129,Bonn Kessenich
708000,166,4,1,1,no,yes,yes,yes,no,2,no,semi-furnished,53123,Bonn Duisdorf
707000,141,3,1,3,no,no,yes,no,no,2,no,unfurnished,53115,Bonn Poppelsdorf
706000,164,4,3,3,no,no,no,yes,no,3,no,furnished,53113,Bonn Zentrum
705000,195,5,1,1,yes,no,yes,yes,no,3,no,unfurnished,53639,Königswinter
705000,130,3,1,2,no,no,yes,no,yes,2,no,unfurnished,53111,Bonn Zentrum
705000,121,4,3,3,yes,yes,yes,yes,no,3,no,semi-furnished,53115,Bonn Poppelsdorf
700000,228,6,2,3,no,yes,yes,yes,no,3,no,unfurnished,42855,Remscheid
700000,178,4,3,2,no,no,yes,yes,yes,3,no,unfurnished,53604,Bad Honnef
700000,176,5,1,2,no,no,no,no,no,2,yes,unfurnished,51149,Köln Porz
698000,135,3,2,2,no,no,yes,yes,yes,2,no,unfurnished,45239,Essen Werden
693000,208,5,2,2,no,no,yes,yes,no,1,no,semi-furnished,53125,Bonn Hardtberg
690000,159,5,3,2,no,no,yes,yes,no,3,no,unfurnished,53179,Bonn Bad Godesberg
687000,155,4,1,1,yes,no,yes,yes,no,3,no,semi-furnished,50672,Köln Innenstadt
686000,192,5,3,2,no,no,yes,yes,no,2,yes,unfurnished,53359,Rheinbach
685000,119,3,2,1,no,yes,yes,yes,no,1,no,semi-furnished,53127,Bonn Venusberg
685000,150,4,1,1,yes,no,yes,yes,no,3,no,unfurnished,53111,Bonn Zentrum
684000,145,4,2,1,no,no,no,yes,no,1,yes,semi-furnished,53127,Bonn Hardtberg
684000,134,4,1,1,no,yes,yes,yes,no,2,no,semi-furnished,53173,Bonn Bad Godesberg
680000,137,5,1,3,no,no,no,yes,no,2,no,unfurnished,53113,Bonn Zentrum
677000,174,4,1,2,no,no,yes,yes,no,2,no,unfurnished,53175,Bonn Bad Godesberg
675000,159,4,1,3,no,no,yes,yes,no,2,no,semi-furnished,53115,Bonn Poppelsdorf
674000,151,4,2,3,no,yes,yes,yes,no,2,no,unfurnished,40223,Düsseldorf Bilk
671000,220,6,1,3,no,no,no,yes,yes,3,no,unfurnished,53721,Siegburg
669000,151,4,2,1,no,no,no,yes,yes,1,no,unfurnished,50996,Köln Rodenkirchen
668000,104,3,2,1,yes,no,yes,yes,no,2,no,unfurnished,50676,Köln Innenstadt
666000,110,3,1,3,no,no,yes,yes,no,1,no,unfurnished,53115,Bonn Zentrum
666000,191,5,1,3,no,no,no,yes,no,1,yes,unfurnished,44135,Dortmund Zentrum
664000,173,4,2,1,no,no,no,yes,no,2,yes,unfurnished,52072,Aachen
662000,110,3,2,3,no,no,yes,yes,no,1,no,furnished,45239,Essen Werden
661000,133,4,2,1,no,no,yes,yes,no,1,yes,unfurnished,53129,Bonn Kessenich
659000,126,4,2,3,no,no,yes,no,no,1,yes,semi-furnished,53115,Bonn Poppelsdorf
657000,230,5,2,1,no,no,yes,yes,no,1,no,semi-furnished,53757,Sankt Augustin
657000,107,3,2,3,yes,no,yes,yes,no,0,no,unfurnished,40545,Düsseldorf Oberkassel
654000,193,5,2,3,no,no,yes,yes,no,2,no,semi-furnished,32051,Herford
654000,175,5,1,3,no,no,yes,yes,no,1,no,semi-furnished,53721,Siegburg
652000,98,3,1,1,no,no,no,yes,no,1,yes,unfurnished,53115,Bonn Zentrum
651000,207,5,3,3,no,no,yes,yes,no,3,yes,unfurnished,51373,Leverkusen
650000,87,3,1,1,no,no,no,yes,no,0,no,unfurnished,40213,Düsseldorf Zentrum
644000,116,4,2,1,no,no,yes,yes,no,2,no,semi-furnished,50937,Köln Lindenthal
641000,145,4,1,2,no,no,yes,yes,no,1,no,unfurnished,53113,Bonn Zentrum
639000,105,3,1,3,no,no,yes,yes,no,0,yes,semi-furnished,48153,Münster
639000,200,5,1,3,no,no,yes,yes,no,2,no,semi-furnished,59065,Hamm
636000,103,3,2,3,no,no,yes,yes,no,0,no,unfurnished,53111,Bonn Zentrum
635000,199,5,2,2,no,no,yes,yes,no,2,no,unfurnished,53332,Bornheim
635000,150,5,3,3,no,no,yes,yes,no,3,no,unfurnished,53121,Bonn Endenich
633000,168,4,3,2,no,no,yes,yes,no,2,no,unfurnished,50321,Brühl
633000,124,3,1,2,no,no,yes,yes,no,1,no,unfurnished,53115,Bonn Poppelsdorf
632000,150,4,1,1,no,no,yes,yes,no,2,no,semi-furnished,51147,Köln Porz
631000,111,4,2,1,no,yes,yes,yes,yes,1,no,unfurnished,50674,Köln Innenstadt
623000,201,5,2,2,no,no,no,yes,no,2,no,unfurnished,47058,Duisburg
623000,153,4,1,1,yes,no,yes,yes,no,3,no,furnished,53127,Bonn Hardtberg
623000,192,6,3,1,yes,no,yes,yes,no,2,no,unfurnished,56075,Koblenz
622000,159,4,2,1,no,no,no,yes,no,1,no,unfurnished,53179,Bonn Bad Godesberg
619000,103,3,2,1,no,yes,no,yes,yes,2,yes,furnished,53121,Bonn Endenich
618000,150,5,1,1,no,no,yes,yes,no,2,no,semi-furnished,51067,Köln Muelheim
617000,144,5,1,1,yes,yes,yes,yes,no,1,no,unfurnished,50827,Köln Ehrenfeld
617000,199,4,2,3,no,yes,no,yes,no,3,yes,unfurnished,45128,Essen Zentrum
617000,98,2,1,2,no,yes,no,yes,yes,1,yes,unfurnished,53115,Bonn Zentrum
617000,131,4,1,2,no,yes,yes,yes,no,2,yes,unfurnished,53757,Sankt Augustin
615000,121,2,2,3,no,yes,no,yes,no,0,no,semi-furnished,40597,Düsseldorf Benrath
611000,151,4,2,2,yes,yes,yes,yes,no,3,no,semi-furnished,41464,Neuss
610000,114,4,2,1,no,no,yes,yes,no,1,no,semi-furnished,50670,Köln Innenstadt
610000,145,5,2,1,no,yes,yes,yes,no,1,no,unfurnished,53604,Bad Honnef
606000,107,3,1,1,no,no,no,yes,no,0,no,unfurnished,53115,Bonn Zentrum
605000,153,5,2,1,no,no,yes,yes,no,2,no,unfurnished,53840,Troisdorf
605000,165,4,3,1,no,no,yes,yes,no,2,no,unfurnished,53123,Bonn Duisdorf
602000,151,4,3,3,yes,no,yes,yes,no,1,yes,unfurnished,50737,Köln Nippes
602000,164,4,2,2,no,yes,no,no,no,1,yes,unfurnished,40235,Düsseldorf Flingern
601000,126,3,1,1,no,no,no,yes,no,2,no,semi-furnished,50825,Köln Ehrenfeld
599000,134,5,2,1,no,no,yes,no,no,2,no,semi-furnished,53127,Bonn Hardtberg
599000,143,4,2,2,no,no,no,yes,no,1,no,semi-furnished,50997,Köln Rodenkirchen
596000,135,4,2,1,no,no,no,yes,no,0,yes,unfurnished,53113,Bonn Zentrum
594000,122,4,2,2,no,yes,no,yes,no,1,no,unfurnished,53129,Bonn Kessenich
592000,124,3,2,3,no,yes,no,yes,no,0,no,semi-furnished,53229,Bonn Beuel
591000,129,4,2,1,yes,no,yes,yes,no,2,yes,unfurnished,40233,Düsseldorf Flingern
588000,141,4,1,2,no,no,yes,yes,no,1,no,unfurnished,53127,Bonn Hardtberg
587000,101,3,1,1,no,no,no,no,no,2,yes,unfurnished,53115,Bonn Zentrum
586000,204,5,3,1,yes,no,yes,yes,no,3,no,unfurnished,50321,Brühl
586000,87,4,2,1,no,no,no,yes,no,2,yes,semi-furnished,53111,Bonn Zentrum
585000,194,5,1,3,no,no,yes,yes,no,1,yes,semi-furnished,33609,Bielefeld
584000,120,4,2,1,no,no,yes,yes,no,2,yes,furnished,53125,Bonn Hardtberg
582000,113,3,3,1,no,no,no,yes,no,1,no,unfurnished,45239,Essen Werden
581000,156,5,1,1,no,no,no,yes,no,2,no,unfurnished,53227,Bonn Beuel
579000,108,4,2,1,yes,no,yes,yes,no,0,yes,unfurnished,40217,Düsseldorf Zentrum
578000,105,4,1,2,yes,no,yes,yes,no,2,yes,unfurnished,53111,Bonn Zentrum
578000,163,4,1,2,no,no,yes,yes,no,2,yes,unfurnished,56070,Koblenz
578000,104,3,1,3,yes,no,yes,yes,no,2,no,semi-furnished,40213,Düsseldorf Zentrum
578000,170,4,3,1,yes,no,yes,yes,no,2,no,unfurnished,53721,Siegburg
575000,120,4,1,2,no,no,no,yes,yes,1,no,furnished,53115,Bonn Zentrum
575000,117,4,1,3,no,no,yes,yes,no,1,no,unfurnished,53115,Bonn Zentrum
573000,168,4,2,1,yes,no,no,yes,no,2,no,furnished,52062,Aachen
570000,225,6,1,2,yes,no,yes,yes,no,1,no,unfurnished,45329,Essen Altenessen
568000,177,4,1,3,no,no,no,yes,no,3,no,unfurnished,51143,Köln Porz
567000,185,5,2,2,no,no,yes,yes,no,2,no,unfurnished,53347,Alfter
567000,170,4,1,1,yes,no,yes,yes,no,1,no,unfurnished,45130,Essen Rüttenscheid
565000,115,4,2,1,yes,no,yes,yes,no,1,yes,semi-furnished,40235,Düsseldorf Flingern
565000,93,2,1,1,no,yes,yes,yes,no,0,no,semi-furnished,48149,Münster
564000,183,4,2,2,no,no,yes,yes,no,2,no,unfurnished,33332,Gütersloh
564000,69,2,1,1,yes,yes,yes,yes,no,2,yes,semi-furnished,50670,Köln Innenstadt
563000,110,4,1,1,no,no,no,yes,no,2,yes,unfurnished,53113,Bonn Zentrum
562000,102,2,1,3,no,no,yes,yes,no,1,no,unfurnished,53115,Bonn Zentrum
562000,169,4,2,2,yes,yes,yes,yes,no,1,no,semi-furnished,51063,Köln Muelheim
559000,95,3,2,1,no,no,no,yes,no,1,no,furnished,50672,Köln Innenstadt
556000,236,5,3,2,no,no,yes,yes,no,2,no,unfurnished,33609,Bielefeld
555000,145,4,2,2,no,no,yes,yes,no,2,no,furnished,53121,Bonn Endenich
554000,167,4,3,2,yes,no,yes,no,no,2,no,unfurnished,53227,Bonn Beuel
554000,104,3,1,3,no,no,no,yes,no,0,no,semi-furnished,40547,Düsseldorf Oberkassel
